id_pedido,id_cliente,fecha_compra,articulo,cantidad,ingreso_total
ORD-00139,CUST-1186,2026-05-20 04:00:00,Taza Cerámica,2,46216.26
ORD-00140,CUST-1262,2026-05-06 20:00:00,Taza Cerámica,1,12063.75
ORD-00141,CUST-1622,2026-04-03 08:00:00,Remera Algodón,3,27646.02
ORD-00142,CUST-692,15/05/2026,Buzo Canguro,4,81771.96
ORD-00143,CUST-491,2026-04-11 04:00:00,Remera Sublimada,1,8537.66
ORD-00144,CUST-1798,2026-03-29 09:00:00,Gorra,5,50374.87
ORD-00145,CUST-518,2026-07-18 06:00:00,Taza Cerámica,2,14025.78
ORD-00146,CUST-388,2026-05-14 05:00:00,Buzo Canguro,1,10357.49
ORD-00147,CUST-478,2026-04-26 19:00:00,Buzo Canguro,4,52826.81
ORD-00148,CUST-1896,2026-02-03 18:00:00,Buzo Canguro,3,18849.47
ORD-00149,CUST-1613,2026-04-27 14:00:00,Remera Algodón,1,22434.18
ORD-00150,CUST-330,2026-04-17 05:00:00,Remera Sublimada,3,45820.49
ORD-00151,CUST-1117,2026-07-14 14:00:00,Remera Algodón,5,83810.36
ORD-00152,CUST-140,2026-07-19 04:00:00,Remera Algodón,4,49702.86
ORD-00153,CUST-1151,2026-06-21 22:00:00,Buzo Canguro,4,73586.82
ORD-00154,CUST-234,2026-03-30 17:00:00,Buzo Canguro,2,27271.27
ORD-00155,CUST-300,2026-03-02 04:00:00,Remera Sublimada,4,80905.1
ORD-00156,CUST-1963,2026-02-25 15:00:00,Remera Sublimada,1,21428.04
ORD-00157,CUST-879,2026-07-05 18:00:00,Remera Sublimada,1,18436.98
ORD-00158,CUST-1029,2026-06-06 15:00:00,Taza Cerámica,1,14826.71
ORD-00159,CUST-1156,2026-06-03 14:00:00,Buzo Canguro,5,103226.94
ORD-00160,CUST-1171,2026-05-29 03:00:00,Remera Sublimada,4,59542.82
ORD-00161,CUST-602,2026-03-11 15:00:00,Remera Sublimada,4,28920.79
ORD-00162,CUST-506,2026-02-22 20:00:00,Remera Algodón,1,7326.8
ORD-00163,CUST-1697,15/05/2026,Remera Sublimada,2,47943.33
ORD-00164,CUST-1851,2026-02-16 22:00:00,Remera Algodón,2,18542.52
ORD-00165,CUST-904,2026-03-03 09:00:00,Remera Sublimada,4,85274.0
ORD-00166,CUST-198,2026-03-04 01:00:00,Buzo Canguro,4,39736.43
ORD-00167,CUST-783,2026-02-09 16:00:00,Remera Sublimada,3,40846.81
ORD-00168,CUST-1995,2026-06-19 09:00:00,Buzo Canguro,4,72395.85
ORD-00169,CUST-825,2026-02-17 03:00:00,Buzo Canguro,1,8177.34
ORD-00170,CUST-1670,2026-03-20 19:00:00,Remera Sublimada,5,98724.65
ORD-00171,CUST-1060,2026-05-22 20:00:00,Buzo Canguro,4,75193.04
ORD-00172,CUST-1862,2026-05-12 05:00:00,Buzo Canguro,4,63446.63
ORD-00173,CUST-712,2026-04-06 18:00:00,Taza Cerámica,1,16317.8
ORD-00174,CUST-1585,2026-03-08 16:00:00,Taza Cerámica,3,21346.31
ORD-00175,CUST-742,2026-06-07 01:00:00,Remera Sublimada,4,54875.93
ORD-00176,CUST-1892,2026-05-15 14:00:00,Buzo Canguro,2,13462.86
ORD-00177,CUST-1128,2026-05-07 06:00:00,Remera Algodón,2,22314.53
ORD-00178,CUST-1341,2026-06-03 05:00:00,Gorra,2,46012.49
ORD-00179,CUST-602,,Remera Algodón,5,82453.34
ORD-00180,CUST-866,2026-07-01 06:00:00,Remera Sublimada,5,99270.34
ORD-00181,CUST-497,2026-06-06 16:00:00,Taza Cerámica,4,65910.87
ORD-00182,CUST-970,2026-07-12 08:00:00,Buzo Canguro,4,35538.94
ORD-00183,CUST-894,2026-04-14 12:00:00,Remera Sublimada,4,67584.67
ORD-00184,CUST-492,2026-04-11 05:00:00,Gorra,5,100538.81
ORD-00185,CUST-306,,Taza Cerámica,4,31072.4
ORD-00186,CUST-1138,2026-02-03 16:00:00,Remera Sublimada,1,21338.13
ORD-00187,CUST-1981,2026-04-04 16:00:00,Remera Sublimada,3,48323.53
ORD-00188,CUST-1677,2026-04-17 15:00:00,Gorra,2,10171.01
ORD-00189,CUST-991,2026-07-25 12:00:00,Remera Sublimada,2,30791.14
ORD-00190,CUST-1584,2026-04-06 16:00:00,Remera Sublimada,1,12913.43
ORD-00191,CUST-1814,2026-02-15 03:00:00,Buzo Canguro,4,43715.72
ORD-00192,CUST-1698,2026-03-04 03:00:00,Remera Sublimada,5,102125.72
ORD-00193,CUST-963,2026-06-26 16:00:00,Remera Algodón,4,91959.99
ORD-00194,CUST-842,2026-04-24 10:00:00,Buzo Canguro,4,81012.25
ORD-00195,CUST-1364,,Buzo Canguro,2,43870.9
ORD-00196,CUST-663,2026-04-19 00:00:00,Remera Algodón,2,46351.24
ORD-00197,CUST-1120,2026-02-14 01:00:00,Buzo Canguro,5,116262.93
ORD-00198,CUST-195,2026-06-12 18:00:00,Remera Sublimada,2,14585.53
ORD-00199,CUST-1857,2026-06-14 00:00:00,Taza Cerámica,4,56510.84
ORD-00200,CUST-584,2026-07-27 07:00:00,Buzo Canguro,1,5005.73
ORD-00201,CUST-1530,2026-04-24 20:00:00,Remera Sublimada,5,75646.26
ORD-00202,CUST-330,2026-02-27 15:00:00,Taza Cerámica,1,23484.88
ORD-00203,CUST-848,2026-06-14 07:00:00,Gorra,4,35928.18
ORD-00204,CUST-1778,2026-02-13 15:00:00,Taza Cerámica,5,88978.66
ORD-00205,CUST-1294,2026-04-05 02:00:00,Remera Algodón,1,17887.58
ORD-00206,CUST-640,2026-06-27 11:00:00,Taza Cerámica,5,41035.4
ORD-00207,CUST-1159,2026-04-21 10:00:00,Taza Cerámica,4,39082.2
ORD-00208,CUST-624,15/05/2026,Gorra,5,71202.18
ORD-00209,CUST-1283,2026-05-06 03:00:00,Remera Sublimada,4,35056.75
ORD-00210,CUST-1962,2026-07-22 22:00:00,Remera Sublimada,5,83499.4
ORD-00211,CUST-1822,2026-02-02 21:00:00,Taza Cerámica,5,73454.17
ORD-00212,CUST-1366,2026-05-26 04:00:00,Buzo Canguro,2,30767.93
ORD-00213,CUST-1209,2026-04-13 06:00:00,Remera Sublimada,4,30757.4
ORD-00214,CUST-1919,2026-05-30 02:00:00,Remera Sublimada,3,46035.11
ORD-00215,CUST-677,2026-05-25 15:00:00,Remera Sublimada,5,29947.82
ORD-00216,CUST-781,2026-04-24 18:00:00,Buzo Canguro,1,22630.71
ORD-00217,CUST-656,2026-04-13 00:00:00,Gorra,2,23729.99
ORD-00218,CUST-1697,2026-05-24 11:00:00,Remera Algodón,2,44253.49
ORD-00219,CUST-1112,2026-06-06 20:00:00,Taza Cerámica,5,95165.64
ORD-00220,CUST-745,2026-04-16 04:00:00,Gorra,3,60970.36
ORD-00221,CUST-895,2026-02-27 11:00:00,Buzo Canguro,2,22581.78
ORD-00222,CUST-1151,2026-06-25 05:00:00,Remera Sublimada,4,38219.52
ORD-00223,CUST-1743,2026-05-08 04:00:00,Remera Sublimada,5,65674.06
ORD-00224,CUST-1679,2026-03-29 13:00:00,Buzo Canguro,5,27422.59
ORD-00225,CUST-1463,2026-04-10 21:00:00,Remera Sublimada,3,70125.34
ORD-00226,CUST-1921,2026-05-31 00:00:00,Buzo Canguro,4,50961.14
ORD-00227,CUST-1454,2026-04-03 17:00:00,Taza Cerámica,4,99084.53
ORD-00228,CUST-1763,2026-05-23 08:00:00,Buzo Canguro,3,60686.97
ORD-00229,CUST-1629,2026-02-19 21:00:00,Remera Algodón,1,6610.3
ORD-00230,CUST-1471,2026-06-03 01:00:00,Buzo Canguro,4,72815.06
ORD-00231,CUST-1596,2026-03-19 06:00:00,Remera Sublimada,1,10416.78
ORD-00232,CUST-1354,2026-03-05 12:00:00,Buzo Canguro,1,9874.37
ORD-00233,CUST-289,2026-04-25 21:00:00,Taza Cerámica,5,50656.27
ORD-00234,CUST-1348,2026-06-15 14:00:00,Remera Sublimada,5,116607.5
ORD-00235,CUST-1508,2026-02-14 22:00:00,Remera Sublimada,2,29999.21
ORD-00236,CUST-1500,2026-06-27 21:00:00,Buzo Canguro,5,91947.09
ORD-00237,CUST-1406,2026-06-28 17:00:00,Remera Algodón,4,42475.83
ORD-00238,CUST-732,2026-04-04 09:00:00,Buzo Canguro,4,61836.36
ORD-00239,CUST-727,2026-05-16 07:00:00,Remera Algodón,1,12002.0
ORD-00240,CUST-1072,15/05/2026,Gorra,4,45691.12
ORD-00241,CUST-1868,2026-02-17 01:00:00,Remera Sublimada,5,49696.88
ORD-00242,CUST-1382,2026-02-06 04:00:00,Taza Cerámica,5,65900.69
ORD-00243,CUST-1482,2026-07-06 08:00:00,Buzo Canguro,5,91003.01
ORD-00244,CUST-809,2026-04-23 19:00:00,Remera Sublimada,3,28322.63
ORD-00245,CUST-1579,2026-07-19 16:00:00,Taza Cerámica,4,97235.52
ORD-00246,CUST-1534,2026-07-27 11:00:00,Taza Cerámica,2,14984.47
ORD-00247,CUST-748,2026-04-12 02:00:00,Remera Sublimada,4,58416.58
ORD-00248,CUST-417,2026-02-10 01:00:00,Remera Algodón,4,26802.26
ORD-00249,CUST-1800,2026-04-30 02:00:00,Taza Cerámica,3,16359.92
ORD-00250,CUST-1348,2026-02-02 09:00:00,Remera Algodón,4,93814.19
ORD-00251,CUST-1942,2026-07-16 21:00:00,Remera Sublimada,1,21207.7
ORD-00252,CUST-1357,2026-07-04 10:00:00,Remera Algodón,5,94415.54
ORD-00253,CUST-783,2026-03-11 14:00:00,Remera Sublimada,5,111519.08
ORD-00254,CUST-763,2026-02-20 08:00:00,Remera Sublimada,3,63170.91
ORD-00255,CUST-1950,2026-06-28 11:00:00,Taza Cerámica,5,89723.77
ORD-00256,CUST-1497,2026-06-27 19:00:00,Taza Cerámica,1,21946.85
ORD-00257,CUST-1795,2026-05-22 01:00:00,Buzo Canguro,3,38448.03
ORD-00258,CUST-1731,2026-07-08 20:00:00,Buzo Canguro,2,32110.07
ORD-00259,CUST-1595,2026-03-06 21:00:00,Remera Sublimada,5,102631.07
ORD-00260,CUST-1356,2026-04-08 05:00:00,Buzo Canguro,4,26783.84
ORD-00261,CUST-1815,2026-02-27 09:00:00,Buzo Canguro,1,22172.91
ORD-00262,CUST-1236,2026-04-14 00:00:00,Buzo Canguro,1,8136.61
ORD-00263,CUST-1953,2026-05-07 15:00:00,Buzo Canguro,5,111454.13
ORD-00264,CUST-1620,2026-04-11 08:00:00,Remera Algodón,2,22453.31
ORD-00265,CUST-541,2026-05-11 01:00:00,Buzo Canguro,4,46142.63
ORD-00266,CUST-663,2026-07-07 03:00:00,Taza Cerámica,2,12957.95
ORD-00267,CUST-1391,2026-04-06 18:00:00,Remera Algodón,2,45435.98
ORD-00268,CUST-1633,2026-07-04 09:00:00,Buzo Canguro,5,42451.04
ORD-00269,CUST-1930,2026-03-25 14:00:00,Remera Sublimada,4,70403.99
ORD-00270,CUST-1509,2026-03-31 21:00:00,Remera Sublimada,5,89396.76
ORD-00271,CUST-1510,2026-07-29 15:00:00,Taza Cerámica,5,53115.15
ORD-00272,CUST-1236,2026-06-29 21:00:00,Remera Sublimada,1,24713.22
ORD-00273,CUST-1736,2026-05-11 01:00:00,Buzo Canguro,5,31416.62
ORD-00274,CUST-1748,2026-07-08 12:00:00,Remera Sublimada,3,51472.32
ORD-00275,CUST-1051,2026-02-28 00:00:00,Remera Sublimada,4,58363.51
ORD-00276,CUST-1204,2026-05-24 12:00:00,Buzo Canguro,1,9909.68
ORD-00277,CUST-798,2026-04-09 06:00:00,Remera Algodón,4,33084.14
ORD-00278,CUST-212,2026-03-21 08:00:00,Buzo Canguro,1,19741.69
ORD-00279,CUST-101,15/05/2026,Remera Algodón,3,69978.89
ORD-00280,CUST-741,2026-06-09 09:00:00,Remera Algodón,5,35754.63
ORD-00281,CUST-319,2026-07-14 08:00:00,Remera Sublimada,1,8879.6
ORD-00282,CUST-1689,2026-03-18 09:00:00,Remera Sublimada,1,24725.39
ORD-00283,CUST-954,2026-07-10 05:00:00,Taza Cerámica,1,5300.45
ORD-00284,CUST-1859,2026-07-26 05:00:00,Gorra,3,45495.12
ORD-00285,CUST-1348,2026-06-25 09:00:00,Buzo Canguro,4,61289.03
ORD-00286,CUST-484,2026-05-25 21:00:00,Remera Algodón,3,30789.69
ORD-00287,CUST-1526,2026-07-28 02:00:00,Remera Sublimada,1,18260.58
ORD-00288,CUST-1761,2026-04-26 14:00:00,Remera Sublimada,1,23898.82
ORD-00289,CUST-1253,2026-02-15 03:00:00,Buzo Canguro,5,70021.39
ORD-00290,CUST-1176,2026-05-04 08:00:00,Buzo Canguro,3,59965.17
ORD-00291,CUST-1807,2026-07-05 18:00:00,Remera Sublimada,3,53764.22
ORD-00292,CUST-829,2026-05-03 16:00:00,Remera Sublimada,2,28917.67
ORD-00293,CUST-1795,2026-03-15 08:00:00,Remera Sublimada,4,23984.98
ORD-00294,CUST-1833,2026-07-20 17:00:00,Buzo Canguro,2,39669.99
ORD-00295,CUST-1539,,Gorra,2,24530.06
ORD-00296,CUST-346,2026-05-24 20:00:00,Gorra,4,37959.58
ORD-00297,CUST-935,2026-07-01 14:00:00,Taza Cerámica,5,119826.86
ORD-00298,CUST-1562,2026-07-30 14:00:00,Buzo Canguro,5,102350.28
ORD-00299,CUST-302,2026-04-04 00:00:00,Buzo Canguro,4,96981.49
ORD-00300,CUST-1307,2026-05-21 04:00:00,Remera Sublimada,4,40497.35
ORD-00301,CUST-222,2026-03-15 15:00:00,Remera Sublimada,3,65147.6
ORD-00302,CUST-500,2026-03-06 07:00:00,Remera Sublimada,3,51463.28
ORD-00303,CUST-866,2026-04-02 17:00:00,Gorra,3,73890.22
ORD-00304,CUST-393,2026-04-03 00:00:00,Remera Algodón,3,71779.02
ORD-00305,CUST-379,2026-04-16 15:00:00,Buzo Canguro,1,24459.36
ORD-00306,CUST-1960,2026-04-23 15:00:00,Taza Cerámica,1,24035.35
ORD-00307,CUST-983,2026-06-18 17:00:00,Remera Sublimada,5,25766.09
ORD-00308,CUST-1733,2026-03-10 18:00:00,Buzo Canguro,1,19821.71
ORD-00309,CUST-297,2026-07-14 12:00:00,Taza Cerámica,1,10438.69
ORD-00310,CUST-1081,2026-07-24 02:00:00,Buzo Canguro,3,57301.63
ORD-00311,CUST-1634,2026-05-13 00:00:00,Remera Sublimada,3,73836.67
ORD-00312,CUST-851,2026-05-31 13:00:00,Gorra,4,23148.75
ORD-00313,CUST-243,15/05/2026,Taza Cerámica,3,49019.27
ORD-00314,CUST-708,2026-04-14 05:00:00,Gorra,4,78796.25
ORD-00315,CUST-1324,2026-05-18 06:00:00,Gorra,4,40268.7
ORD-00316,CUST-1247,2026-05-24 00:00:00,Remera Algodón,1,9502.44
ORD-00317,CUST-286,2026-03-09 08:00:00,Remera Sublimada,3,18620.73
ORD-00318,CUST-1449,2026-04-23 20:00:00,Remera Sublimada,1,6878.4
ORD-00319,CUST-563,2026-02-02 10:00:00,Remera Sublimada,3,54404.99
ORD-00320,CUST-1472,2026-06-03 05:00:00,Remera Sublimada,1,15104.21
ORD-00321,CUST-1894,2026-07-18 03:00:00,Buzo Canguro,1,5601.44
ORD-00322,CUST-759,2026-05-25 10:00:00,Buzo Canguro,1,24393.24
ORD-00323,CUST-863,2026-03-09 14:00:00,Buzo Canguro,5,90604.59
ORD-00324,CUST-1054,2026-05-03 17:00:00,Remera Sublimada,1,15309.37
ORD-00325,CUST-502,2026-05-09 21:00:00,Remera Algodón,2,20908.97
ORD-00326,CUST-1469,2026-06-19 12:00:00,Remera Sublimada,2,36323.96
ORD-00327,CUST-1634,15/05/2026,Remera Sublimada,2,24566.71
ORD-00328,CUST-246,2026-06-15 10:00:00,Taza Cerámica,4,76199.53
ORD-00329,CUST-1271,15/05/2026,Taza Cerámica,1,18651.44
ORD-00330,CUST-963,2026-06-09 22:00:00,Buzo Canguro,2,13709.75
ORD-00331,CUST-1834,2026-02-03 13:00:00,Remera Sublimada,4,92740.86
ORD-00332,CUST-1943,2026-07-16 17:00:00,Buzo Canguro,2,29478.97
ORD-00333,CUST-588,2026-06-01 00:00:00,Remera Sublimada,3,38576.7
ORD-00334,CUST-1028,2026-05-13 05:00:00,Remera Sublimada,5,120546.21
